Symbol,Open,High,Low,Close,Adj Close,Volume,52High,52Low
AAPL,,388.31,368.039,371.38,,"49,082,888",399.82,192.58
ADBE,,448.81,430.3001,431.74,,"2,312,684",470.61,255.1314
ADI,,113.99,110.47,111.94,,"4,215,117",127.39,79.075
ADP,,148.97,146.28,146.97,,"1,055,877",182.32,103.1101
ADSK,,245.16,235.73,237.34,,"1,176,591",251.39,125.38
ALGN,,314.4,296.73,299.05,,"2,345,065",326.36,127.88
ALXN,,106.79,104.52,104.79,,"1,215,751",125.52,72.67
AMAT,,65.33,63.2,63.63,,"5,343,408",69.44,36.64
AMD,,62.33,58.6342,59.57,,"104,500,111",62,27.43
AMGN,,260,251.6,252.24,,"2,530,352",264.97,173.12
AMZN,,3098.2713,2970,2986.55,,"5,633,893",3344.29,1626.0318
ANSS,,309.34,298.56,300.15,,"365,105",310.05,186.81
ASML,,394.21,381.89,384.23,,"987,464",402.865,191.2542
ATVI,,82.67,79.38,79.61,,"5,962,990",82.05,44.91
AVGO,,316.09,308.38,309.67,,"1,940,336",331.58,155.67
BIDU,,122.67,119.42,121.1,,"2,739,307",147.38,82
BIIB,,282.26,277.53,278.51,,"946,660",374.99,215.775
BKNG,,1729.33,1692.146,1695.46,,"263,799",2094,1107.285
BMRN,,129.18,124.33,124.49,,"966,736",131.945,62.88
CDNS,,105.89,102.35,102.94,,"1,666,048",106.54,51.39
CDW,,121.48,118.28,118.79,,"473,044",146.09,73.39
CERN,,72.94,71.76,72.13,,"1,672,127",80.9,53.08
CHKP,,125.815,121.31,124.2,,"1,590,832",130.6461,80.06
CHTR,,569.145,556.19,560.42,,"540,574",571.6,345.67
CMCSA,,42.96,42.335,42.49,,"22,340,601",47.74,31.705
COST,,330.38,325.33,326.11,,"1,559,636",331.49,262.71
CPRT,,93.08,89.65,90.24,,"2,472,966",104.88,55.69
CSCO,,47.7,46.68,47.41,,"23,702,271",57.5,32.4001
CSGP,,718.69,695.78,698.63,,"170,195",747.11,500.24
CSX,,72.95,70.93,71.53,,"5,101,961",80.62,46.81
CTAS,,311.015,282.69,303.01,,"1,066,245",304.81,154.33
CTSH,,62.56,61.79,62.08,,"2,514,926",71.48,40.01
CTXS,,160.7,143.92,145.54,,"7,649,219",173.56,90.28
DLTR,,97.27,95.93,96.32,,"1,754,038",119.71,60.2
DOCU,,208.8,196.61,198.49,,"3,298,699",217,43.13
DXCM,,437.67,416.04,420.01,,"743,087",446.5,138.28
EA,,139.57,134.73,135.36,,"1,895,846",142.31,85.69
EBAY,,56.82,54.86,55.15,,"9,812,452",61.06,26.02
EXC,,39.3,38.42,38.64,,"6,241,642",50.54,29.28
EXPE,,87.23,83.75,85.17,,"2,873,551",144,40.76
FAST,,46.5382,45.695,45.77,,"4,063,439",45.99,26.715
FB,,242.42,231.75,232.6,,"21,712,035",250.15,137.1006
FISV,,104.29,101.51,102.19,,"4,905,104",125.05,73.5
FOX,,26.42,25.88,26.13,,"1,029,541",38.84,19.13
FOXA,,26.53,25.945,26.24,,"4,029,774",39.735,19.81
GILD,,76.7969,75.37,75.56,,"5,840,138",85.97,60.89
GOOG,,1571.87,1507.3918,1515.68,,"1,624,612",1586.99,1013.5361
GOOGL,,1570.35,1508.59,1516.75,,"1,691,612",1587.05,1008.87
IDXX,,368.7062,358.19,360.84,,"409,612",372.33,168.65
ILMN,,399.46,383.8,386.45,,"783,612",402.14,196.78
INCY,,107.09,101.405,101.68,,"1,154,058",110.365,62.48
INTC,,61.74,59.98,60.4,,"39,364,474",69.29,43.63
INTU,,298.88,290.2,291.55,,"1,265,423",314.725,187.675
ISRG,,699.7199,671.72,686.55,,"820,455",684.845,360.5
JD,,62.29,59.92,60.52,,"11,880,247",69.18,25.77
KHC,,35.13,34.27,34.86,,"6,095,549",35.19,19.99
KLAC,,209.3,202.29,203.92,,"1,154,813",207.78,110.19
LBTYA,,23.05,22.48,22.62,,"753,014",28.48,15.235
LBTYK,,22.73,22.125,22.29,,"1,562,644",27.67,14.355
LRCX,,367.56,350.91,354.82,,"1,720,200",363,181.38
LULU,,337.5673,316,320.01,,"2,590,753",330.9,128.845
