Symbol,Open,High,Low,Close,Adj Close,Volume,52High,52Low
AAN,44.94,45.67,43.86,,,"478,462",78.65,13.005
AAOI,14.23,14.5,13.62,,,"1,056,028",15.98,5
AAON,58.49,60,58.02,,,"290,140",60,40.4809
AAT,26.18,26.72,25.83,,,"406,850",49.26,20.15
AAWW,48.74,49.4,47.85,,,"396,361",51,14.97
AAXN,87.53,89.8887,86.56,,,"660,402",104.9,49.8
ABCB,23.42,23.57,22.33,,,"555,877",44.9,17.12
ABEO,2.95,2.99,2.87,,,"564,956",5.19,1.35
ABG,106.15,109.735,105.12,,,"507,774",123.445,39.36
ABM,35.14,36.09,34.95,,,"451,805",42.67,19.7906
ABTX,24.19,24.28,23.38,,,"39,065",38.95,20.88
AC,38.7,39.24,37.96,,,"28,402",65.46,24.33
ACA,42.67,43.23,42.36,,,"200,543",47.85,28.14
ACAD,43.75,44.82,42.75,,,"2,655,360",58.72,22.33
ACBI,11.25,11.29,10.99,,,"45,367",20.21,8.89
ACCO,7,7.065,6.82,,,"484,552",11.3799,3.51
ACER,3.27,3.51,3.21,,,"109,685",7.25,1.08
ACIA,67.69,67.89,67.6,,,"453,707",69.13,60.62
ACIW,27.785,28.19,27.55,,,"705,180",39.37,20.03
ACLS,28.4,29.53,27.98,,,"242,822",29.7,12.99
ACNB,22.67,23.5,22.58,,,"11,412",37.9,20.05
ACOR,0.8017,0.9,0.7801,,,"2,451,422",7.13,0.6516
ACRE,8.92,9.2,8.9,,,"377,591",17.72,2.78
ACRS,2.24,2.39,2.205,,,"538,566",3.34,0.7
ACRX,1.12,1.18,1.08,,,"2,862,678",2.8,0.7014
ACTG,4.02,4.32,3.96,,,"434,263",4.46,1.75
ADC,63.38,64.635,62.38,,,"572,542",80.51,45.23
ADES,4.6,4.75,4.58,,,"93,136",15.34,4.44
ADMA,2.96,3.1159,2.91,,,"1,731,872",5.4844,1.45
ADMS,2.61,2.705,2.6,,,"264,707",7.78,1.9
ADNT,18.13,18.5,17.76,,,"604,274",29.275,5.9001
ADRO,2.775,2.86,2.72,,,"207,512",4.04,0.9011
ADSW,30.16,30.19,30.16,,,"732,984",33.15,28.55
ADTN,12.82,12.89,12.45,,,"450,372",12.62,4.8
ADUS,94.9,95,92.12,,,"98,484",104.5622,43.125
ADVM,17.27,17.88,17.08,,,"806,636",26.98,4.96
AEGN,16.37,16.5,16.06,,,"84,678",23.645,11.4
AEIS,71.82,72.9125,70.485,,,"473,339",78.49,33.38
AEL,26,26.315,25.68,,,"953,632",34.16,9.07
AEO,10.12,10.3499,9.955,,,"4,777,433",18.07,6.535
AERI,12.61,13.33,12.51,,,"597,920",26.26,10.8
AFI,2.97,3.1099,2.95,,,"177,877",9.23,1.12
AFIN,7.15,7.2693,7.04,,,"305,682",15.18,4.2
AFMD,4.11,4.2668,4.08,,,"675,696",4.91,1.42
AGE,1.33,1.54,1.33,,,"679,428",3.14,0.666
AGEN,3.4,3.5478,3.37,,,"2,095,671",4.785,1.82
AGLE,7.49,8.02,7.32,,,"120,663",11.38,3.5
AGM,61.53,61.72,60.48,,,"25,065",88.46,40.05
AGS,3.42,3.65,3.3,,,"316,361",19.35,0.7011
AGX,46.01,46.59,45.6,,,"109,295",48.25,29.9116
AGYS,18.25,18.85,17.96,,,"123,524",37.17,12.61
AHH,9.67,9.85,9.47,,,"192,807",19.43,6.4
AHT,4.41,4.85,4.26,,,"1,385,722",34.35472837,4.6198
AI,3.03,3.0729,3.015,,,"162,562",6.77,1.4
AIMC,34.12,34.16,32.39,,,"521,792",38.43,12
AIMT,14.81,15.53,14.56,,,"1,389,769",37,10.09
AIN,52.24,53.065,51.78,,,"249,861",92.045,30.46
AIR,19.23,19.69,18.55,,,"596,202",52.78,8.56
AIRG,13.16,13.37,12.6,,,"222,087",13.43,5.63
AIT,65.03,65.54,64.09,,,"159,302",70.62,30.66
AJRD,38.04,38.96,37.9,,,"493,568",57.2749,34.01
AJX,8.89,9.24,8.86,,,"69,861",15.96,3.96
AKBA,11.98,12.64,11.8801,,,"779,378",13.71,2.99
AKCA,12.79,12.81,12.17,,,"351,279",23.98,8
AKR,12.08,12.23,11.83,,,"520,416",29.5496,9.5907
AKTS,8.09,8.28,7.93,,,"323,051",9.4,3.76
ALBO,26.26,27.48,25.76,,,"86,372",31.5,11.26
ALCO,31.45,32.18,29.5242,,,"98,609",38.25,22.55
ALDX,6.33,6.6,6.01,,,"950,989",8.05,1.48
ALE,59.61,60.12,59.1401,,,"285,916",88.6,48.22
ALEC,22.29,23.32,21.85,,,"357,104",35.93,13.64
ALEX,12.28,12.44,12.08,,,"331,693",25.38,8.3189
ALG,103.14,103.58,101.01,,,"53,820",132.96,70.99
ALGT,113.76,117.82,110.93,,,"152,229",183.26,60.06
ALLK,84.1,84.46,82.04,,,"226,417",139.99,30.32
ALLO,39.45,40.95,39.22,,,"346,417",55,17.43
ALOT,6.9,7.2,6.82,,,"26,052",24.6101,5.29
ALRM,71.61,74.66,71.21,,,"403,236",74.07,32
ALTM,13.68,13.97,13.5,,,"54,773",74.2,9.4
ALTR,38.95,40.48,38.73,,,"201,488",43.28,23.04
ALX,249.01,251.875,247.55,,,"14,017",391.75,223.025
AMAG,10.075,10.44,9.09,,,"1,693,284",13.53,4.41
AMAL,11.32,11.52,11.15,,,"39,523",20,7.9
AMBA,45.26,46.75,45.12,,,"363,131",73.59,36.02
AMBC,13.45,13.64,13.32,,,"181,031",22.9,8.74
AMC,4.06,4.175,4,,,"3,570,446",12.49,1.95
AMED,215.47,218.97,214.5,,,"172,606",218.94,121.0013
AMEH,16.76,16.8,16.32,,,"64,125",23.26,9.27
AMKR,12.64,12.985,12.15,,,"1,625,618",15.245,5.4
AMN,54.61,55.19,53.08,,,"487,529",89.22,36.65
AMNB,23.27,23.955,23.0779,,,"10,106",40.57,18.5338
AMOT,36.71,37.09,36.5,,,"21,495",49.98,19
AMPH,20.39,20.81,20.34,,,"176,200",22.85,12.325
AMRC,28.68,29.35,28.4201,,,"185,050",32.48,13.11
AMRS,4.2,4.28,4.1,,,"906,117",6.07,1.4
AMRX,4.46,4.495,4.35,,,"848,516",5.79,2.27
AMSC,9.52,9.955,9.41,,,"328,415",9.99,4.4
AMSF,64.15,64.55,62.26,,,"64,672",80.65,48.02
AMSWA,15.605,15.88,15.27,,,"159,335",21.48,9.05
AMTB,13.6,13.75,13,,,"24,775",23.59,10.05
AMWD,77.54,79.82,75.41,,,"206,952",117.7,35.3
