Symbol,Last,Open,High,Low,Change,%Chg,10D MA,50D MA,10D Avg Vol,5D Rel Str,20D Rel Str,Exchange,52W High,52W Low
AAPL,190.68,191.41,192.67,190.24,-1.13,-0.59%,189.91,178.72,50506301,54.90%,65.89%,NASDAQ,194.48,124.17
ABNB,130.32,128.16,131.62,128.06,2.16,1.69%,127.92,118.47,4424720,58.61%,59.04%,NASDAQ,144.63,81.91
ADBE,485.27,481.98,490.42,479.86,3.98,0.83%,484.77,417.43,2668220,54.34%,65.52%,NASDAQ,518.74,274.73
ADI,185.31,186.39,188.65,185.18,-0.88,-0.47%,189.47,184.29,3315790,32.42%,48.86%,NASDAQ,198.24,133.48
ADP,218.74,219.82,221.35,218.52,-2.91,-1.31%,217.57,215.96,1524890,49.69%,52.26%,NASDAQ,274.92,201.46
ADSK,201.57,200.4,203.95,200.4,0.52,0.26%,203.69,201.12,1414520,32.48%,48.01%,NASDAQ,235.01,166.94
AEP,84.29,84.89,85.03,84.25,-1.04,-1.22%,84.05,86.41,3257270,46.97%,46.27%,NASDAQ,105.6,80.3
ALGN,329.54,331.11,335.61,328.71,-1.38,-0.42%,338.33,312.61,643550,35.91%,53.36%,NASDAQ,368.87,172.05
AMAT,139.57,139.62,142.12,139.41,-0.81,-0.58%,142.29,129.91,5524620,35.47%,56.25%,NASDAQ,146.69,71.12
AMD,113.17,114.16,115.33,113.04,-0.31,-0.27%,111.96,108.83,54180469,47.06%,51.68%,NASDAQ,132.83,54.57
AMGN,218.65,221.86,222.16,218.44,-4.33,-1.94%,223.15,226.2,2558870,27.61%,41.45%,NASDAQ,296.67,211.71
AMZN,129.78,128.59,130.97,128.13,1.42,1.11%,129.19,119.11,47282910,56.97%,61.78%,NASDAQ,146.57,81.43
ANSS,320.17,320.78,324.23,319.41,-1.22,-0.38%,323.21,315.7,423600,33.85%,49.73%,NASDAQ,339.55,194.23
ASML,696.74,697.9,705.74,693.66,-2.57,-0.37%,714.11,692.38,940370,28.13%,47.99%,NASDAQ,747.13,363.15
ATVI,82.43,82.78,83.31,82.22,-0.27,-0.33%,83.18,79.62,6188220,40.78%,54.32%,NASDAQ,87.01,70.94
AVGO,846.75,850.43,857.99,844.66,-1.25,-0.15%,850.32,751.9,2165230,41.49%,61.05%,NASDAQ,921.78,415.07
AZN,64.85,65.33,65.51,64.55,-0.56,-0.86%,69.15,72.95,6627150,22.11%,32.01%,NASDAQ,76.56,52.65
BIIB,275.07,285.58,286.54,274.75,-9.92,-3.48%,283.14,299.61,1081430,15.90%,34.50%,NASDAQ,319.76,193.65
BKNG,2636.91,2628,2661.84,2628,4.22,0.16%,2662.72,2645.14,274560,40.24%,49.50%,NASDAQ,2786.85,1616.85
BKR,33.11,31.38,33.24,31.37,1.51,4.78%,31.32,29.29,6497030,90.93%,68.83%,NASDAQ,33.24,20.42
CDNS,226.89,229.82,230.04,226.11,-3.18,-1.38%,229.44,220.47,1945900,34.88%,51.57%,NASDAQ,242.65,138.76
CEG,91.33,91,91.71,90.66,0.33,0.36%,91.09,85.66,1902380,51.23%,60.70%,NASDAQ,97.89,52.64
CHTR,371.94,369.05,378.34,369.05,0.17,0.05%,358.6,342.53,1205640,88.17%,64.29%,NASDAQ,496.37,297.66
CMCSA,41.43,41.12,41.88,40.95,0.22,0.53%,41.27,40.45,14403820,55.42%,56.94%,NASDAQ,43.72,28.39
COST,525.05,533.89,536.46,524.63,-12.32,-2.29%,532.57,511.07,1605220,30.88%,54.08%,NASDAQ,564.75,447.9
CPRT,88.11,88.46,89.06,87.73,-0.83,-0.93%,89.62,85.43,2373590,30.52%,55.64%,NASDAQ,91.58,52.28
CRWD,144.05,143.51,146.8,143.48,0.44,0.31%,144.44,142.08,2622920,40.45%,49.36%,NASDAQ,205.73,92.25
CSCO,50.99,51,51.65,50.74,-0.12,-0.23%,51.06,49.15,13818310,42.03%,55.37%,NASDAQ,52.56,38.6
CSGP,86.78,87.56,88.3,86.7,-1.26,-1.43%,88.39,80.65,6701140,39.01%,60.01%,NASDAQ,92.36,57.54
CSX,33.3,33.4,33.69,33.25,-0.16,-0.48%,33.58,32.2,10073200,38.54%,56.07%,NASDAQ,34.71,25.8
CTAS,480.24,485.85,486.04,479.88,-6.54,-1.34%,487.68,474.94,366140,29.47%,50.54%,NASDAQ,497.97,365.65
CTSH,65.34,64.67,65.71,64.54,0.63,0.97%,64.2,62.7,3540860,64.81%,57.95%,NASDAQ,70.86,51.33
DDOG,98.02,97.5,101.5,97.47,0.94,0.97%,96.74,89.97,3132240,58.53%,58.43%,NASDAQ,120.75,61.34
DLTR,143.54,144.47,145.18,143.28,-0.73,-0.51%,144.73,146.07,2070660,46.09%,50.03%,NASDAQ,175.68,128.85
DXCM,126.71,126.8,128.59,125.78,-0.99,-0.78%,126.72,122.45,2281210,45.53%,54.43%,NASDAQ,134.14,73.93
EA,129.2,130.49,131.26,128.54,-1.5,-1.15%,129.48,126.83,1783060,46.64%,54.71%,NASDAQ,135.85,108.53
EBAY,44.26,43.69,44.57,43.68,0.41,0.94%,44.38,44.64,4221250,44.42%,48.70%,NASDAQ,52.23,35.92
ENPH,166.17,162.53,169.5,162.29,4.79,2.97%,162.9,167.44,3363680,53.40%,45.96%,NASDAQ,339.92,152.15
EXC,40.96,41.16,41.23,40.79,-0.1,-0.24%,40.67,40.83,5231930,54.32%,51.72%,NASDAQ,47.23,35.19
FANG,132.4,126.71,134.29,126.71,5.23,4.11%,129.2,130.54,1720960,63.86%,52.78%,NASDAQ,168.95,103.71
FAST,57.87,57.85,58.48,57.64,0.1,0.17%,58.08,55.45,2708430,48.25%,58.73%,NASDAQ,59.29,43.73
FTNT,74.68,74.41,75.46,73.99,0.03,0.04%,73.96,68.96,5376170,62.88%,61.74%,NASDAQ,76.27,42.61
GEHC,79.62,78.98,80.11,78.3,0.5,0.63%,79.19,78.86,3121380,51.42%,51.37%,NASDAQ,87.83,53
GFS,62.54,61.88,63.4,61.63,0.75,1.21%,62.34,59.19,1236150,49.61%,53.58%,NASDAQ,72.5,40.62
GILD,74.42,75.66,75.94,74.33,-1.82,-2.39%,76.39,78.17,5215010,22.54%,37.65%,NASDAQ,89.74,59.27
GOOG,120.14,120.89,121.75,120.09,-0.79,-0.65%,120.74,119.23,21258811,40.76%,50.35%,NASDAQ,129.55,83.45
GOOGL,119.48,120.1,121.05,119.4,-0.63,-0.52%,119.92,118.55,27767471,41.19%,50.47%,NASDAQ,129.04,83.34
HON,203.26,202.88,205.72,202.16,-0.75,-0.37%,204.45,198.56,2324700,40.56%,54.64%,NASDAQ,220.96,166.63
IDXX,498.01,491,501.74,489.49,6.78,1.38%,491.37,478.94,415730,65.38%,57.88%,NASDAQ,515.79,317.06
ILMN,183.32,182.13,185,181.54,0.84,0.46%,187.54,199.7,1699780,27.67%,38.77%,NASDAQ,248.87,173.45
INTC,31.85,32,32.41,31.82,-0.12,-0.38%,33.03,31.38,34783441,28.24%,48.79%,NASDAQ,40.73,24.59
INTU,448.19,450.73,457.42,447.83,-3.31,-0.73%,454.78,438.18,1357770,36.47%,51.99%,NASDAQ,490.83,352.63
ISRG,331.29,329.99,332.97,327.62,1.15,0.35%,332.72,314.4,1349710,46.81%,61.31%,NASDAQ,344.08,180.07
JD,35.76,34.66,36.19,34.58,1.68,4.93%,34.87,35.72,9472141,57.96%,48.82%,NASDAQ,67.87,31.57
KDP,31.76,32.03,32.09,31.72,-0.44,-1.37%,31.37,31.93,8545910,56.38%,48.52%,NASDAQ,41.31,30.47
KHC,35.46,35.65,35.78,35.44,-0.2,-0.56%,35.54,38.01,7216170,37.64%,34.28%,NASDAQ,42.8,32.73
KLAC,455.83,455.91,465.95,454.1,-5.71,-1.24%,469.92,435.3,825400,28.55%,52.02%,NASDAQ,488.41,250.2
LCID,7.45,7.1,7.73,7.08,0.37,5.23%,6.66,6.97,68725164,72.29%,56.08%,NASDAQ,21.78,5.46
LRCX,617.87,621.87,629.36,616.94,-3.13,-0.50%,632.21,588.07,1118400,34.83%,53.86%,NASDAQ,651.01,299.59
LULU,363.74,366,367.9,363.26,-3.29,-0.90%,373.37,369.06,1214790,25.98%,47.54%,NASDAQ,389.06,271.05
