Symbol,Open,High,Low,Close,Beta,52Low,52High,Market Cap,Volume,Shares,Sector,Industry
ATVI,74.9,74.925,73.605,75.23,0.4153,70.94,86.25,"58,637 M","9,622,267","786,120,459",Communication Services,Entertainment
CHTR,357.77,358.155,346.955,356.9,1.138,297.66,515.66,"52,518 M","853,099","150,575,231",Communication Services,Media
CMCSA,40.77,40.78,40.0101,40.89,1.017,28.39,44.66,"167,670 M","15,142,996","4,168,827,388",Communication Services,Media
DIS,99.54,99.54,96.61,100.86,1.3,84.07,126.48,"178,022 M","13,260,720","1,826,807,227",Communication Services,Entertainment
EA,125.93,125.98,123.86,125.07,0.8573,108.53,142.79,"34,007 M","2,534,448","274,227,596",Communication Services,Entertainment
FOX,29.32,29.45,28.53,29.97,0.9621,26.35,34.42,"15,304 M","1,449,435","534,561,587",Communication Services,Media
GOOGL,105.485,105.6,103.97,105.41,1.109,83.34,122.43,"1,329,249 M","23,419,506","12,697,000,000",Communication Services,Interactive Media & Services
META,236.06,238.2,232.9264,237.03,1.156,88.09,244.92,"598,449 M","17,889,391","2,562,732,034",Communication Services,Interactive Media & Services
MTCH,33.65,34.54,33.08,33.57,1.112,33.055,87.46,"9,353 M","4,846,728","278,455,869",Communication Services,Interactive Media & Services
NFLX,319.01,323.61,317.95,319.3,1.334,162.71,379.4301,"142,600 M","3,879,657","444,541,116",Communication Services,Entertainment
PARA,18.91,19.04,16.39,22.89,1.809,15.29,34.5,"10,668 M","72,171,022","650,516,634",Communication Services,Media
T,17.02,17.0785,16.85,17.09,0.6314,14.46,22.84,"120,890 M","27,422,691","7,149,000,000",Communication Services,Diversified Telecommunication Services
TMUS,140.13,141.76,140.13,139.91,0.5489,120.9,154.3786,"169,497 M","4,849,285","1,199,892,465",Communication Services,Wireless Telecommunication Services
TTWO,122.56,122.56,119.565,122.14,0.6816,90,137.43,"20,288 M","1,568,926","168,674,529",Communication Services,Entertainment
VZ,37.86,37.96,37.29,37.98,0.35,32.79,52.18,"156,870 M","16,163,096","4,200,000,000",Communication Services,Diversified Telecommunication Services
BKNG,2610.92,2645.9999,2600.59,2646.21,1.328,1616.85,2731.75,"96,625 M","487,754","37,112,330",Consumer Discretionary,"Hotels, Restaurants & Leisure"
CMG,2058.47,2062.33,2028.64,2058.12,1.287,1196.28,2071,"56,104 M","228,827","27,589,840",Consumer Discretionary,"Hotels, Restaurants & Leisure"
DHI,109.2,110.09,107.15,109.63,1.549,59.25,110.37,"36,570 M","3,659,395","341,071,172",Consumer Discretionary,Household Durables
DPZ,312.66,315.99,310.215,314.86,0.8096,291,426.44,"11,005 M","459,307","35,339,030",Consumer Discretionary,"Hotels, Restaurants & Leisure"
DRI,151.5,153.065,151.14,151.47,1.301,110.96,155.9,"18,493 M","1,005,358","120,929,455",Consumer Discretionary,"Hotels, Restaurants & Leisure"
EXPE,89.71,90.32,87.94,90.57,1.658,82.39,147.53,"13,331 M","4,468,663","149,504,066",Consumer Discretionary,"Hotels, Restaurants & Leisure"
F,11.8,11.83,11.47,11.79,1.634,10.61,16.68,"46,249 M","79,792,934","4,000,770,326",Consumer Discretionary,Automobiles
GM,32.3,32.67,31.56,32.48,1.377,30.33,43.63,"44,053 M","14,807,411","1,390,123,499",Consumer Discretionary,Automobiles
GPC,171.99,172.94,169.78,171.98,0.884,125.55,187.725,"24,072 M","1,761,747","140,515,640",Consumer Discretionary,Distributors
GRMN,100.24,102.5,99.56,100.08,0.9652,76.37,108.32,"19,431 M","1,001,784","191,290,486",Consumer Discretionary,Household Durables
HD,292.72,294.5893,285.33,293.08,0.9192,264.51,347.25,"289,370 M","4,422,521","1,012,668,994",Consumer Discretionary,Specialty Retail
LEN,113.83,114.435,112.31,114.13,1.461,62.54,113.9,"32,514 M","1,571,310","289,400,723",Consumer Discretionary,Household Durables
LKQ,57.07,57.13,55.94,57.13,1.381,46.2,59.33,"15,022 M","705,880","267,289,697",Consumer Discretionary,Distributors
LOW,205.24,206.6299,201.27,205.31,1.067,170.12,223.31,"120,941 M","2,375,943","596,356,261",Consumer Discretionary,Specialty Retail
LVS,61.47,62.1,60.81,61.43,1.181,28.875,64.48,"47,156 M","3,328,433","764,271,386",Consumer Discretionary,"Hotels, Restaurants & Leisure"
MGM,43.53,43.85,42.7,43.74,2.11,26.41,46.235,"15,574 M","6,085,865","363,799,070",Consumer Discretionary,"Hotels, Restaurants & Leisure"
NKE,124.94,125.185,122.82,126.74,1.116,82.22,131.31,"190,079 M","6,177,127","1,536,988,816",Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
ORLY,935.88,939.5746,927.11,931.67,0.8579,562.9,937.24,"56,987 M","297,792","61,038,936",Consumer Discretionary,Specialty Retail
PHM,66.55,67,65.82,66.49,1.42,35.0324,67.2,"14,815 M","3,393,774","223,224,233",Consumer Discretionary,Household Durables
RCL,73.2,73.44,70.58,67.08,2.642,31.09,76.3,"18,382 M","10,164,675","255,731,909",Consumer Discretionary,"Hotels, Restaurants & Leisure"
ROST,104.01,104.7,102.22,103.99,0.9721,69.24,122.445,"35,173 M","1,220,588","342,051,765",Consumer Discretionary,Specialty Retail
SBUX,104.27,105.67,103.8,103.96,0.9435,68.39,114.56,"120,051 M","8,858,136","1,146,400,000",Consumer Discretionary,"Hotels, Restaurants & Leisure"
TSLA,162.71,162.95,159.65,160.61,1.5,101.81,315.2,"510,924 M","95,108,492","3,169,504,301",Consumer Discretionary,Automobiles
YUM,136.83,137.48,135.38,137.31,0.999,103.965,143.245,"38,170 M","1,555,644","280,000,000",Consumer Discretionary,"Hotels, Restaurants & Leisure"
CLX,175.43,176.24,170.57,175.61,0.2764,120.5,168.17,"21,145 M","2,395,322","123,623,524",Consumer Staples,Household Products
K,70.99,71.09,68.89,71.53,0.42,63.74,77.17,"24,117 M","3,719,082","342,668,232",Consumer Staples,Food Products
MO,46.4,46.52,45.57,46.53,0.6514,40.35,57.03,"82,344 M","7,333,190","1,785,039,536",Consumer Staples,Tobacco
PG,156.1,156.6,155.09,156.23,0.3916,122.18,157.37,"366,532 M","4,892,639","2,356,969,322",Consumer Staples,Household Products
SJM,157.1,158.14,156.28,157.09,0.2032,119.82,163.07,"16,787 M","760,845","106,636,093",Consumer Staples,Food Products
STZ,225.49,225.6683,221.81,225.5,1.031,208.12,261.32,"40,753 M","1,041,796","183,231,968",Consumer Staples,Beverages
APA,34.8,35.89,32,34.17,3.581,30.15,51.95,"10,034 M","10,315,445","311,046,795",Energy,"Oil, Gas & Consumable Fuels"
COP,96.2,98.52,95.81,96.09,1.349,78.3,138.49,"117,988 M","6,840,031","1,211,878,514",Energy,"Oil, Gas & Consumable Fuels"
CVX,157.11,158.1999,155.42,156.83,1.141,132.54,189.68,"295,981 M","7,500,368","1,894,643,487",Energy,"Oil, Gas & Consumable Fuels"
DVN,49.13,49.75,48.045,49.01,2.414,44.03,79.4,"31,059 M","7,220,125","643,843,655",Energy,"Oil, Gas & Consumable Fuels"
HAL,29.07,29.43,28.47,29.15,2.33,23.3,43.99,"26,182 M","10,565,792","902,194,900",Energy,Energy Equipment & Services
KMI,16.52,16.735,16.39,16.56,0.94,15.775,20.2,"37,294 M","16,214,927","2,241,213,694",Energy,"Oil, Gas & Consumable Fuels"
MPC,109.54,110.4799,104.44,110.07,1.74,77.62,139.79,"44,575 M","7,334,114","424,282,812",Energy,"Oil, Gas & Consumable Fuels"
MRO,22,22.64,21.63,22.27,2.481,19.42,33.42,"13,753 M","14,425,362","622,875,270",Energy,"Oil, Gas & Consumable Fuels"
OKE,62.85,63.2013,61.36,62.82,1.941,50.5,71.5737,"28,023 M","2,610,448","447,441,008",Energy,"Oil, Gas & Consumable Fuels"
OXY,59.04,59.84,58.275,58.97,1.994,54.3046,77.1299,"52,719 M","11,201,972","898,115,138",Energy,"Oil, Gas & Consumable Fuels"
PXD,208.16,209.55,205.6707,207.79,1.558,177.265,288.46,"48,164 M","1,840,868","233,735,537",Energy,"Oil, Gas & Consumable Fuels"
SLB,45.44,45.99,44.6,45.27,1.901,30.65,62.78,"64,240 M","10,085,350","1,425,330,904",Energy,Energy Equipment & Services
VLO,106.99,108.3564,104.18,107.06,1.629,96.93,160.16,"37,710 M","5,083,917","361,516,949",Energy,"Oil, Gas & Consumable Fuels"
XOM,107.9,108.75,105.91,107.93,1.096,80.69,119.92,"428,718 M","17,177,150","4,042,984,946",Energy,"Oil, Gas & Consumable Fuels"
ACGL,75.37,75.62,72.84,75.62,0.7586,41.05,76.25,"27,141 M","3,000,724","372,200,000",Financials,Insurance
AFL,66.89,66.9,65.17,67.36,0.9348,52.0702,74.015,"40,374 M","3,509,732","604,226,995",Financials,Insurance
AMP,285.52,286.63,279.85,288.83,1.485,219.99,357.46,"29,381 M","1,024,483","104,178,786",Financials,Capital Markets
