Ticker,OriginalPrice,Quantity,OriginalDate,ActualPrice,TransType
VTV,142.98,34,7/9/2023,142.98,bto
IBWX,46.98371887,18,7/9/2023,46.98371887,bto
SCHO,53.35757446,68,7/9/2023,53.35757446,bto
RWM,169.3557434,43,7/9/2023,169.3557434,bto
FXN,493.6734924,11,7/9/2023,493.6734924,bto
ANGL,30.17642593,44,7/9/2023,30.17642593,bto
BNDX,34.09149933,92,7/9/2023,34.09149933,bto
USMV,74.28,45,7/9/2023,74.28,bto
MBB,93.05,94,7/9/2023,93.05,bto
UCO,26.62,75,7/9/2023,26.62,bto
SPMB,21.82,70,7/9/2023,21.82,bto
SPHY,22.87,27,7/9/2023,22.87,bto
PAVE,31.79,37,7/9/2023,31.79,bto
DGRO,51.68,76,7/9/2023,51.68,bto
NOBL,94.87,18,7/9/2023,94.87,bto
