Ticker,OriginalPrice,Quantity,OriginalDate,ActualPrice,TransType
ABT,106.86,15,7/9/2023,106.86,bto
PNC,127.23,5,7/9/2023,127.23,bto
DOW,53.35757446,8,7/9/2023,53.35757446,bto
AAPL,169.3557434,15,7/9/2023,169.3557434,bto
UNH,493.6734924,36,7/9/2023,493.6734924,bto
INTC,30.17642593,25,7/9/2023,30.17642593,bto
MS,85.77,33,7/9/2023,85.77,bto
TJX,85.25,33,7/9/2023,85.25,bto
WBA,34.09149933,28,7/9/2023,34.09149933,bto
KO,63.81400299,30,7/9/2023,63.81400299,bto
T,15.12,37,7/9/2023,15.12,bto
VZ,63.81400299,35,7/9/2023,63.81400299,bto
KO,63.81400299,29,7/9/2023,63.81400299,bto
MRO,24.75,27,7/9/2023,24.75,bto
WM,169.18,6,7/9/2023,169.18,bto
