Ticker,OriginalPrice,Quantity,OriginalDate,ActualPrice,TransType
AXP,158.7755432,35,5/19/2023,158.7755432,bto
DOW,53.35757446,7,4/10/2023,53.35757446,bto
MCD,296.008728,34,2/15/2023,296.008728,bto
GS,337.9963989,24,5/19/2023,337.9963989,bto
UNH,493.6734924,43,4/10/2023,493.6734924,bto
KO,63.81400299,4,2/15/2023,63.81400299,bto
V,232.0575714,49,5/19/2023,232.0575714,bto
SMH,162.3748932,0,4/10/2023,162.3748932,bto
XLY,162.3748932,7,2/15/2023,162.3748932,bto
GLD,162.3748932,19,5/19/2023,162.3748932,bto
SLV,22.125,9,4/10/2023,22.125,bto
SCHD,73.4,2,2/15/2023,73.4,bto
QQQ,372.589,45,5/19/2023,372.589,bto
IWM,191.8,17,4/10/2023,191.8,bto
VGIT,58.63,8,2/15/2023,58.63,bto
BITO,16.21,40,5/19/2023,16.21,bto
ETCG,6.94,11,4/10/2023,6.94,bto
GXLM,29.11,40,2/15/2023,29.11,bto
