Ticker,OriginalPrice,Quantity,OriginalDate,ActualPrice,TransType
AXP,158.7755432,1,7/9/2023,158.7755432,bto
CSCO,46.98371887,5,7/9/2023,46.98371887,bto
DOW,53.35757446,8,7/9/2023,53.35757446,bto
AAPL,169.3557434,15,7/9/2023,169.3557434,bto
UNH,493.6734924,4,7/9/2023,493.6734924,bto
INTC,30.17642593,20,7/9/2023,30.17642593,bto
WBA,34.09149933,12,7/9/2023,34.09149933,bto
WBA,34.09149933,12,7/9/2023,34.09149933,bto
WBA,34.09149933,12,7/9/2023,34.09149933,bto
KO,63.81400299,30,7/9/2023,63.81400299,bto
KO,63.81400299,30,7/9/2023,63.81400299,bto
KO,63.81400299,30,7/9/2023,63.81400299,bto
KO,63.81400299,30,7/9/2023,63.81400299,bto
WBA,34.09149933,6,7/9/2023,34.09149933,bto
WBA,34.09149933,6,7/9/2023,34.09149933,bto
